edge_type	source_node	target_node	generative_model_pred	discriminative_model_pred	n_sentences	hetionet	lemma
[D]{.disease_color}a[G]{.gene_color}	esophageal cancer	COL17A1	1.000	0.975	32	Novel	high [cd147 ].{disease_color} expression in patient with [esophageal cancer ].{gene_color} be associate with bad survival outcome and common clinicopathological indicator of poor prognosis .
[D]{.disease_color}a[G]{.gene_color}	breast cancer	HOXC5	1.000	0.975	36	Novel	elevated [crabp1 ].{gene_color} level be associate with poor patient prognosis , high ki67 immunoreactivity and high tumor grade in [breast cancer ].{disease_color} .
[D]{.disease_color}a[G]{.gene_color}	breast cancer	C1QBP	1.000	0.974	31	Existing	elevated expression of [habp1 ].{gene_color} be correlate with metastasis and poor survival in [breast cancer ].{disease_color} patient .
[D]{.disease_color}a[G]{.gene_color}	breast cancer	KCND3	1.000	0.974	35	Novel	the expression frequencie of p - gp and lrp be significantly high in [adenocarcinomas ].{gene_color} from non - smoking patient ; the expression frequency of [lrp ].{disease_color} be significantly high in cancer tissue from female patient .
[D]{.disease_color}a[G]{.gene_color}	ovarian cancer	ESR2	1.000	0.974	104	Novel	due to the increase expression of era and decrease expression of the [erb ].{gene_color} , the ratio of era and erb be markedly [increase in ovarian cancer ].{disease_color} .
[D]{.disease_color}a[G]{.gene_color}	hematologic cancer	STMN1	1.000	0.974	83	Novel	the stathmin1 mrna expression level in de novo al patient be high than that in healthy person ( p < 0.05 ) , the stathmin1 mrna expression level in relapse patient with al be high than that in de novo patient ( p < 0.05 ) , and there be no significant difference of [stathmin1 ].{disease_color} mrna expression between patient with [aml ].{gene_color} and patient with all .
[D]{.disease_color}a[G]{.gene_color}	breast cancer	ERBB2	1.000	0.974	14005	Existing	hormone receptor status rather than [her2 ].{gene_color} status be significantly associate with increase ki-67 and p53 expression in triple [- negative ].{disease_color} breast carcinoma , and high expression of ki-67 but not p53 be significantly associate with axillary nodal metastasis in triple - negative and high - grade non - triple - negative breast carcinoma .
[D]{.disease_color}a[G]{.gene_color}	hematologic cancer	GLI1	1.000	0.974	75	Novel	conclusion : the expression of gli1 mrna and protein have be find to be high in de novo and relapse [all ].{disease_color} patient , and the change of [gli1 ].{gene_color} expression maybe relate to therapeutic efficacy and prognosis of all patient .
[D]{.disease_color}a[G]{.gene_color}	breast cancer	TP53	1.000	0.974	3481	Existing	hormone receptor status rather than her2 status be significantly associate with increase ki-67 and [p53 ].{disease_color} expression in triple - negative breast carcinoma , and high expression of ki-67 but not p53 be significantly associate with axillary nodal metastasis in triple - [negative and ].{gene_color} high - grade non - triple - negative breast carcinoma .
[D]{.disease_color}a[G]{.gene_color}	stomach cancer	MBTPS1	1.000	0.974	17	Novel	expression of [rabex-5 ].{gene_color} be significantly high in [gastric cancer ].{disease_color} tissue and be associate with tumor size and lymph node metastasis .
[D]{.disease_color}a[G]{.gene_color}	hematologic cancer	NME1	1.000	0.974	149	Novel	the expression level of nm23-h1 and nm23-h2 in these [aml ].{gene_color} sample be significantly high than in normal blood cell , and a high level of [nm23-h1 ].{disease_color} expression be correlate with poor prognosis for aml patient .
[D]{.disease_color}a[G]{.gene_color}	hypertension	HIST1H3E	1.000	0.974	25	Novel	the proportion of circulate th1 cell and the level of [t - bet ].{disease_color} , ifng mrna be increase in [ht ].{gene_color} patient , the expression of ifng - as1 be upregulated and positively correlate with the proportion of circulate th1 cell or t - bet , and ifng expression , or serum level of anti - thyroglobulin antibody / thyroperoxidase antibody in ht patient .
[D]{.disease_color}a[G]{.gene_color}	hematologic cancer	STMN1	1.000	0.974	83	Novel	the stathmin1 mrna expression level in de novo [al ].{gene_color} patient be high than that in healthy person ( p < 0.05 ) , the stathmin1 mrna expression level in relapse patient with al be high than that in de novo patient ( p < 0.05 ) , and there be no significant difference of [stathmin1 ].{disease_color} mrna expression between patient with aml and patient with all .
[D]{.disease_color}a[G]{.gene_color}	hypertension	TBX4	1.000	0.973	146	Novel	the proportion of circulate th1 cell and the level of t - bet , ifng mrna be increase in ht patient , the expression of ifng - as1 be upregulated and positively correlate with the proportion of circulate [th1 ].{disease_color} cell or t - bet , and ifng expression , or serum level of anti - thyroglobulin antibody / thyroperoxidase antibody in [ht ].{gene_color} patient .
[D]{.disease_color}a[G]{.gene_color}	lung cancer	USP9X	1.000	0.973	19	Novel	elevated expression of [usp9x ].{gene_color} correlate with poor prognosis in human [non - small cell ].{disease_color} lung cancer .
[D]{.disease_color}a[G]{.gene_color}	breast cancer	IL17RB	1.000	0.973	36	Novel	elevated expression of [il-17rb ].{gene_color} have a strong correlation with poor prognosis than her2 in [breast cancer ].{disease_color} patient .
[D]{.disease_color}a[G]{.gene_color}	lung cancer	INPPL1	1.000	0.973	15	Novel	elevated expression of [ship2 ].{gene_color} correlate with poor prognosis in [non - small cell ].{disease_color} lung cancer .
[D]{.disease_color}a[G]{.gene_color}	ankylosing spondylitis	VEGFA	1.000	0.973	46	Novel	significant difference be find between the [vegf ].{disease_color} rs2010963 g / c genotype and elevated plasma [level ].{gene_color} in as patient when compare with the control .
[D]{.disease_color}a[G]{.gene_color}	melanoma	ITGA2	1.000	0.973	14	Novel	increase gene expression level of [collagen receptor ].{gene_color} integrin be associate with decreased survival parameter in patient with advanced [melanoma ].{disease_color} .
[D]{.disease_color}a[G]{.gene_color}	ovarian cancer	PPRC1	1.000	0.973	47	Novel	the expression of golph3l be markedly upregulated in [ovarian cancer ].{disease_color} cell line and tissue , and high [golph3l ].{gene_color} expression be associate with an aggressive phenotype and poor prognosis with ovarian cancer patient .
[D]{.disease_color}a[G]{.gene_color}	stomach cancer	CDKN1A	1.000	0.973	81	Existing	the polymorphism of p21 gene may be involve in [gastric carcinogenesis ].{disease_color} . there be no significant association between polymorphism of p21 gene and [expression ].{gene_color} of p21 protein .
[D]{.disease_color}a[G]{.gene_color}	breast cancer	HR	1.000	0.973	67	Novel	increase mrna level of [p4ha2 ].{gene_color} correlate with poor clinical outcome in [breast cancer ].{disease_color} patient , which be independent of estrogen receptor status .
[D]{.disease_color}a[G]{.gene_color}	breast cancer	GFAP	1.000	0.973	655	Novel	the mrna expression level of aurora kinase b and c have a negative correlation with grade staging , staging and survival rate in [breast cancer ].{gene_color} patient , whilst [aurora kinase a ].{disease_color} exhibit a converse expression .
[D]{.disease_color}a[G]{.gene_color}	hematologic cancer	STMN1	1.000	0.973	83	Novel	the stathmin1 mrna expression level in de novo al patient be high than that in healthy person ( p < 0.05 ) , the stathmin1 mrna expression level in relapse patient with [al ].{gene_color} be high than that in de novo patient ( p < 0.05 ) , and there be no significant difference of [stathmin1 ].{disease_color} mrna expression between patient with aml and patient with all .
[D]{.disease_color}a[G]{.gene_color}	hypertension	TBX4	1.000	0.972	146	Novel	the proportion of circulate [th1 ].{disease_color} cell and the level of t - bet , ifng mrna be increase in ht patient , the expression of ifng - as1 be upregulated and positively correlate with the proportion of circulate th1 cell or t - bet , and ifng expression , or serum level of anti - thyroglobulin antibody / thyroperoxidase antibody in [ht ].{gene_color} patient .
[D]{.disease_color}a[G]{.gene_color}	Alzheimer's disease	IL1B	1.000	0.972	230	Existing	a common polymorphism within act and [il-1beta ].{gene_color} gene affect plasma level of act or il-1beta , and [ad ].{disease_color} patient with the act t , t or il-1beta t , t genotype show the high level of plasma act or il-1beta , respectively .
[D]{.disease_color}a[G]{.gene_color}	hypertension	TBX4	1.000	0.972	146	Novel	the proportion of circulate th1 cell and the level of t - bet , ifng mrna be increase in [ht ].{gene_color} patient , the expression of ifng - as1 be upregulated and positively correlate with the proportion of circulate [th1 ].{disease_color} cell or t - bet , and ifng expression , or serum level of anti - thyroglobulin antibody / thyroperoxidase antibody in ht patient .
[G]{.gene_color}i[G]{.gene_color}	CYSLTR2	CYSLTR2	0.967	0.564	37	Novel	the bind pocket of [cyslt2 ].{gene2_color} receptor and the proposition of the interaction mode between [cyslt2 ].{gene1_color} and hami3379 be identify .
[G]{.gene_color}i[G]{.gene_color}	RXRA	PPARA	1.000	0.563	143	Novel	after bind ligand , the [ppar ].{gene2_color} - y receptor heterodimerize [with ].{gene1_color} the rxr receptor .
[G]{.gene_color}i[G]{.gene_color}	RXRA	PPARA	1.000	0.563	143	Novel	after bind ligand , the [ppar ].{gene2_color} - y receptor heterodimerize [with ].{gene1_color} the rxr receptor .
[G]{.gene_color}i[G]{.gene_color}	NR0B2	NR5A2	0.998	0.554	26	Novel	the crystal structure and modeling study of the [lrh-1 ].{gene2_color} ligand - bind domain bind to either of the two lxxll [- ].{gene1_color} relate motif of shp show that the receptor undergo conformational change to accommodate the shp docking and reveal key residue that determine the potency and selectivity of shp binding .
[G]{.gene_color}i[G]{.gene_color}	RXRA	RXRA	0.824	0.551	1101	Existing	nuclear hormone receptor , for example , bind either as homodimer or as heterodimer with [retinoid x receptor ].{gene1_color} ( [rxr ) ].{gene2_color} to half - site repeat that be stabilize by protein - protein interaction mediate by residue within both the dna- and ligand - bind domain .
[G]{.gene_color}i[G]{.gene_color}	ADRBK1	ADRA2A	0.822	0.543	3	Novel	mutation of these residue within the [holo - alpha(2a)ar diminish grk2-promoted ].{gene2_color} phosphorylation [of ].{gene1_color} the receptor as well as the ability of the kinase to be activate by receptor binding .
[G]{.gene_color}i[G]{.gene_color}	ESRRA	ESRRA	0.001	0.531	308	Existing	the crystal structure of the ligand bind domain ( lbd ) of the estrogen - relate receptor [alpha ].{gene2_color} ( [erralpha , ].{gene1_color} nr3b1 ) complexe with a coactivator peptide from peroxisome proliferator - activate receptor coactivator-1alpha ( pgc-1alpha ) reveal a transcriptionally active conformation in the absence of a ligand .
[G]{.gene_color}i[G]{.gene_color}	GP1BA	VWF	0.518	0.527	144	Existing	these finding indicate the novel bind site require for [vwf ].{gene2_color} binding of human [gpibalpha ].{gene1_color} .
[G]{.gene_color}i[G]{.gene_color}	FCN2	FCN2	0.027	0.526	5920	Novel	the promiscuous protein [retinoid x receptor ].{gene2_color} ( [rxr ].{gene1_color} ) display essential allosteric regulation of several member in the nuclear hormone receptor superfamily via heterodimerization and ( anti)cooperative binding of cognate ligand .
[G]{.gene_color}i[G]{.gene_color}	NR0B2	NR5A2	1.000	0.522	26	Novel	the crystal structure and modeling study of the [lrh-1 ].{gene2_color} ligand - bind domain bind to either of the two lxxll - relate motif of shp show that the receptor undergo conformational [change ].{gene1_color} to accommodate the shp docking and reveal key residue that determine the potency and selectivity of shp binding .
[G]{.gene_color}i[G]{.gene_color}	NR2C1	NR2C1	0.027	0.522	26	Novel	the human [testicular receptor 2 ].{gene1_color} ( [tr2 ) ].{gene2_color} , a member of the nuclear hormone receptor superfamily , have no identify ligand yet .
[G]{.gene_color}i[G]{.gene_color}	NCOA1	ESRRG	0.992	0.518	1	Novel	the crystal structure of the ligand bind domain ( lbd ) of the estrogen - relate receptor [3 ( ].{gene2_color} err3 ) complexe with a steroid receptor [coactivator-1 ( ].{gene1_color} src-1 ) peptide reveal a transcriptionally active conformation in absence of any ligand .
[G]{.gene_color}i[G]{.gene_color}	NR1D1	NR1D2	0.000	0.506	8	Existing	two receptor interaction domain in the corepressor , n - cor / rip13 , be require for [an efficient ].{gene1_color} interaction [with ].{gene2_color} rev - erba alpha and rvr : physical association be dependent on the e region of the orphan receptor .
[G]{.gene_color}i[G]{.gene_color}	PPARG	PPARG	0.824	0.504	2497	Existing	although these agent can bind and activate an orphan nuclear receptor , [peroxisome proliferator - activate ].{gene2_color} receptor [gamma ( ].{gene1_color} ppargamma ) , there be no direct evidence to conclusively implicate this receptor in the regulation of mammalian glucose homeostasis .
[G]{.gene_color}i[G]{.gene_color}	NR0B2	NR0B2	0.689	0.504	194	Novel	the crystal structure and modeling study of the lrh-1 ligand - bind domain bind to either of the two lxxll - relate motif of shp show that the receptor undergo conformational [change ].{gene2_color} to accommodate the shp docking and reveal key residue that determine the [potency ].{gene1_color} and selectivity of shp binding .
[G]{.gene_color}i[G]{.gene_color}	ESR2	ESR1	0.995	0.503	1715	Novel	ligand bind experiment with purify [er alpha ].{gene2_color} and [er beta ].{gene1_color} confirm that the two phytoestrogen be er ligand .
[G]{.gene_color}i[G]{.gene_color}	LRP1	LRP1	0.403	0.502	513	Existing	the receptor associate protein ( rap ) be a 38 kda er - resident protein that bind tightly to the low density lipoprotein receptor [- relate ].{gene1_color} protein ( lrp ) , and other member of the ldl receptor family of receptor , and compete with all know lrp [ligand ].{gene2_color} for bind to lrp .
[G]{.gene_color}i[G]{.gene_color}	NR0B2	NR0B2	0.404	0.502	194	Novel	the crystal structure and modeling study of the lrh-1 ligand - bind domain bind to either of the two lxxll [- ].{gene1_color} relate motif of shp show that the receptor undergo conformational change to accommodate the shp docking and reveal key residue that determine the [potency ].{gene2_color} and selectivity of shp binding .
[G]{.gene_color}i[G]{.gene_color}	FGFR2	FGFR2	1.000	0.501	584	Existing	receptor modeling of [kgfr ].{gene1_color} be use to identify selective kgfr tyrosine kinase ( tk ) inhibitor molecule that have the potential to bind selectively to the [kgfr ].{gene2_color} .
[G]{.gene_color}i[G]{.gene_color}	AGTR2	AGTR1	0.967	0.500	254	Novel	the compound exhibit high to moderate binding affinity for the [at2 ].{gene1_color} receptor , and one also display high affinity for the [at1 ].{gene2_color} receptor .
[G]{.gene_color}i[G]{.gene_color}	GPER1	GPER1	0.001	0.500	329	Novel	[g protein - couple estrogen ].{gene2_color} receptor [1 ( ].{gene1_color} gper1 ) be a novel seven - transmembrane estrogen receptor that function alongside traditional nuclear estrogen receptor ( er ) to regulate the cellular response to estrogen .
[G]{.gene_color}i[G]{.gene_color}	NCOR1	NR1D1	0.408	0.500	4	Novel	two receptor interaction domain in the corepressor , [n ].{gene1_color} - cor / rip13 , be require for [an efficient ].{gene2_color} interaction with rev - erba alpha and rvr : physical association be dependent on the e region of the orphan receptor .
[G]{.gene_color}i[G]{.gene_color}	JAZF1	NR2C2	0.962	0.499	2	Novel	[tip27 ].{gene1_color} : a novel repressor of the nuclear orphan receptor [tak1 ].{gene2_color} / tr4 .
[G]{.gene_color}i[G]{.gene_color}	NR0B2	NR0B2	0.404	0.497	194	Novel	the crystal structure and modeling study of the lrh-1 ligand - bind domain bind to either of the two lxxll [- ].{gene1_color} relate motif of shp show that the receptor undergo conformational [change ].{gene2_color} to accommodate the shp docking and reveal key residue that determine the potency and selectivity of shp binding .
[G]{.gene_color}i[G]{.gene_color}	NR0B2	NR5A2	0.214	0.496	26	Novel	the crystal structure and modeling study of the [lrh-1 ].{gene2_color} ligand - bind domain bind to either of the two lxxll - relate motif of shp show that the receptor undergo conformational change to accommodate the shp docking and reveal key residue that determine the [potency ].{gene1_color} and selectivity of shp binding .
[G]{.gene_color}i[G]{.gene_color}	ESR1	RBFOX2	0.998	0.496	1	Existing	mutation of the rna recognition motif alter rna bind specificity and result in a dominant negative form of [rta ].{gene2_color} that lead to derepression of [eralpha ].{gene1_color} transcriptional activity , allow all class of antiestrogen to manif partial agonist activity and enhance agonist efficacy .
[G]{.gene_color}i[G]{.gene_color}	MAOB	MAOB	0.999	0.493	363	Existing	potentiation of ligand bind through cooperative effect in [monoamine oxidase b. ].{gene1_color} crystallographic and biochemical study have be employ to identify the bind site and mechanism for potentiation of imidazoline bind in human monoamine oxidase b ( [mao b ) ].{gene2_color} .
[G]{.gene_color}i[G]{.gene_color}	ESRRA	PPARGC1A	0.987	0.493	72	Existing	the crystal structure of the ligand bind domain ( lbd ) of the estrogen - relate receptor alpha ( [erralpha , ].{gene1_color} nr3b1 ) complexe with a coactivator peptide from peroxisome proliferator - [activate receptor ].{gene2_color} coactivator-1alpha ( pgc-1alpha ) reveal a transcriptionally active conformation in the absence of a ligand .
[G]{.gene_color}i[G]{.gene_color}	ESRRA	ESRRA	0.021	0.492	308	Existing	the crystal structure of the ligand bind domain ( lbd ) of the [estrogen - relate ].{gene1_color} receptor alpha ( [erralpha , ].{gene2_color} nr3b1 ) complexe with a coactivator peptide from peroxisome proliferator - activate receptor coactivator-1alpha ( pgc-1alpha ) reveal a transcriptionally active conformation in the absence of a ligand .
[G]{.gene_color}i[G]{.gene_color}	HMGB1	HMGB1	0.033	0.490	1085	Novel	rage be a multiligand receptor capable to bind also [hmgb1 ].{gene2_color} ( [high mobility group box protein 1 ) ].{gene1_color} , s100 protein or amyloid fibril .
[G]{.gene_color}i[G]{.gene_color}	INSR	KCNJ12	0.000	0.490	2	Novel	the crystal structure provide evidence for a noncatalytic mode of interaction between ptp1b and [irk ].{gene2_color} , which could be important for the selective recruitment of ptp1b to the [insulin receptor ].{gene1_color} .
[G]{.gene_color}i[G]{.gene_color}	ESRRG	NCOA1	0.998	0.490	3	Existing	the crystal structure of the ligand bind domain ( lbd ) of the estrogen - relate receptor [3 ( ].{gene1_color} err3 ) complexe [with a steroid ].{gene2_color} receptor coactivator-1 ( src-1 ) peptide reveal a transcriptionally active conformation in absence of any ligand .
[G]{.gene_color}i[G]{.gene_color}	RAB3B	RAB3B	0.048	0.487	3703	Novel	relationship between [hot ].{gene2_color} spot residues and ligand bind [hot ].{gene1_color} spot in protein - protein interfaces
[G]{.gene_color}i[G]{.gene_color}	RIPK1	CASP8	0.999	0.487	64	Novel	this lead to recruitment of [caspase 8 ].{gene2_color} and receptor interact protein ( [rip ) ].{gene1_color} to the receptor complex .
[G]{.gene_color}i[G]{.gene_color}	PPARG	ESR1	0.689	0.486	25	Novel	[ppar- gamma , ].{gene1_color} ( an important modulator of metabolism ) and estrogen [receptor belong ].{gene2_color} to a family of nuclear hormone receptor that be show to interact with each other .
